資料集名稱,資料集描述,資料集代碼,資料集所屬單位,資料集類別,環境保護計畫類別,聯合國永續發展目標,主要資料欄位,資料來源,授權方式,授權說明網址,編碼格式,更新頻率,最後更新時間,聯絡人姓名,聯絡人電話,聯絡人電子郵件,標籤
應回收廢棄物(廢輪胎類)回收量資料,公告應回收廢棄物(廢輪胎類)歷年回收量資料,WR_P_224,環境部資源循環署,其他,"環境資源調查與監測,資源循環",負責任的消費與生產,Year(年分)、Item(回收項目)、Amount(回收量),,依政府資料開放平臺使用規範,https://data.gov.tw/license,UTF-8,1年,"2026-04-12 08:10:55.000000",廖小姐,(02)2370-5888#30218,ptliao@moenv.gov.tw,"廢輪胎類,回收量"
應回收廢棄物(廢電子電器及廢資訊物品類)回收量資料,提供公告應回收廢棄物(廢電子電器及廢資訊物品類)歷年回收量資料。,WR_P_225,環境部資源循環署,其他,"環境資源調查與監測,資源循環",負責任的消費與生產,Year(年分)、Item(回收項目)、Amount(回收量),,依政府資料開放平臺使用規範,https://data.gov.tw/license,UTF-8,1年,"2026-04-12 08:10:55.000000",廖小姐,(02)2370-5888#30218,ptliao@moenv.gov.tw,"廢家電資訊類,回收量"
應回收廢棄物(廢鉛蓄電池類)回收量資料,公告應回收廢棄物(廢鉛蓄電池類)歷年回收量資料,WR_P_223,環境部資源循環署,其他,"環境資源調查與監測,資源循環",負責任的消費與生產,Year(年分)、Item(回收項目)、Amount(回收量),,依政府資料開放平臺使用規範,https://data.gov.tw/license,UTF-8,1年,"2026-04-12 08:10:54.000000",廖小姐,(02)2370-5888#30218,ptliao@moenv.gov.tw,"廢鉛蓄電池類,回收量"
應回收廢棄物(廢機動車輛類)回收量資料,公告應回收廢棄物(廢機動車輛類)歷年回收量資料,WR_P_222,環境部資源循環署,其他,"環境資源調查與監測,資源循環",負責任的消費與生產,Year(年分)、Item(回收項目)、Amount(回收量),,依政府資料開放平臺使用規範,https://data.gov.tw/license,UTF-8,1年,"2026-04-12 08:10:54.000000",廖小姐,(02)2370-5888#30218,ptliao@moenv.gov.tw,"廢機動車輛類,回收量"
應回收廢棄物(廢容器類)回收量資料,"提供公告應回收廢棄物( 廢容器類)歷年回收量資料。",WR_P_221,環境部資源循環署,其他,"環境資源調查與監測,資源循環",負責任的消費與生產,Year(年分)、Item(回收項目)、Amount(回收量),,依政府資料開放平臺使用規範,https://data.gov.tw/license,UTF-8,1年,"2026-04-12 08:10:53.000000",廖小姐,(02)2370-5888#30218,ptliao@moenv.gov.tw,"廢容器類,回收量"
事業廢棄物委託或共同處理申報量統計,以產源之所在地作為統計主軸，統計事業廢棄物委託或共同處理之申報量。,WR_P_22,環境部資源循環署,其他,資源循環,負責任的消費與生產,EMI_YEAR(申報年度)、EMI_MONTH(申報月份)、AREA_NAME(縣市別)、EMI_VALUE(申報量)、EMI_UNITS(申報量度量單位)、EMI_SCALAR(申報量小數點展示位數),事業廢棄物申報及管理資訊系統,依政府資料開放平臺使用規範,https://data.gov.tw/license,UTF-8,1月,"2026-04-12 08:10:53.000000",吳小姐,(02)2311-7722#2661,meichiu.wu@moenv.gov.tw,委託或共同處理申報量
事業廢棄物自行處理申報量統計,以列管產源之所在地作為統計主軸，統計事業廢棄物自行處理之申報量。,WR_P_21,環境部資源循環署,其他,資源循環,負責任的消費與生產,EMI_YEAR(申報年度)、EMI_MONTH(申報月份)、AREA_NAME(縣市別)、EMI_VALUE(申報量)、EMI_UNITS(申報量度量單位)、EMI_SCALAR(申報量小數點展示位數),事業廢棄物申報及管理資訊系統,依政府資料開放平臺使用規範,https://data.gov.tw/license,UTF-8,1月,"2026-04-12 08:10:52.000000",吳小姐,(02)2311-7722#2661,meichiu.wu@moenv.gov.tw,自行處理申報量
0800資源回收免費專線-民眾通報路邊廢車統計表,提供民眾來電檢舉疑似路邊廢車通報數查詢統計件數,WR_P_210,環境部資源循環署,其他,"資源循環,環境資源調查與監測",永續城市與社區,Year(年度)、NumberOfVehicles(通報車輛種類)、Total(電話通數),,依政府資料開放平臺使用規範,https://data.gov.tw/license,UTF-8,1年,"2026-04-12 08:10:52.000000",莊先生,(02)2370-5888#30238,fkchuang@moenv.gov.tw,資源回收
0800資源回收免費專線-整體話務達成狀況統計,提供民眾來電資源回收專線諮詢之整體話務達成狀況查詢統計件數,WR_P_209,環境部資源循環署,其他,"資源循環,環境資源調查與監測",永續城市與社區,Year(年度)、ItemName(項目名稱)、Total(電話通數),,依政府資料開放平臺使用規範,https://data.gov.tw/license,UTF-8,1年,"2026-04-12 08:10:51.000000",莊先生,(02)2370-5888#30238,fkchuang@moenv.gov.tw,資源回收
0800資源回收免費專線-查詢事業廢棄物統計,提供民眾來電諮詢之事業廢棄物問題查詢統計件數,WR_P_208,環境部資源循環署,其他,"資源循環,環境資源調查與監測",永續城市與社區,Year(年度)、TheNameOfTheProblem(問題類型)、Total(電話通數),,依政府資料開放平臺使用規範,https://data.gov.tw/license,UTF-8,1年,"2026-04-12 08:10:51.000000",莊先生,(02)2370-5888#30238,fkchuang@moenv.gov.tw,資源回收
0800資源回收免費專線-查詢非業務範圍統計,提供民眾來電諮詢之相關活動問題查詢統計件數,WR_P_207,環境部資源循環署,其他,"資源循環,環境資源調查與監測",永續城市與社區,Year(年度)、TheNameOfTheProblem(問題類型)、Total(電話通數),,依政府資料開放平臺使用規範,https://data.gov.tw/license,UTF-8,1年,"2026-04-12 08:10:50.000000",莊先生,(02)2370-5888#30238,fkchuang@moenv.gov.tw,資源回收
0800資源回收免費專線-查詢非公告應回收廢棄物類統計,提供民眾來電諮詢之非公告應回收廢棄物類問題查詢統計件數,WR_P_205,環境部資源循環署,其他,"資源循環,環境資源調查與監測",永續城市與社區,Year(年度)、TheNameOfTheProblem(問題類型)、Total(電話通數),,依政府資料開放平臺使用規範,https://data.gov.tw/license,UTF-8,1年,"2026-04-12 08:10:50.000000",莊先生,(02)2370-5888#30238,fkchuang@moenv.gov.tw,資源回收
0800資源回收免費專線-一般件問題查詢活動統計,提供民眾來電諮詢之相關活動問題查詢統計件數,WR_P_206,環境部資源循環署,其他,"資源循環,環境資源調查與監測",永續城市與社區,Year(年度)、TheNameOfTheProblem(問題類型)、Total(電話通數),,依政府資料開放平臺使用規範,https://data.gov.tw/license,UTF-8,1年,"2026-04-12 08:10:50.000000",莊先生,(02)2370-5888#30238,fkchuang@moenv.gov.tw,資源回收
0800資源回收免費專線-查詢廢輪胎、鉛蓄電池統計,提供民眾來電諮詢之廢輪胎、鉛蓄電池問題查詢統計件數,WR_P_203,環境部資源循環署,其他,"資源循環,環境資源調查與監測",永續城市與社區,Year(年度)、TheNameOfTheProblem(問題類型)、Total(電話通數),,依政府資料開放平臺使用規範,https://data.gov.tw/license,UTF-8,1年,"2026-04-12 08:10:49.000000",莊先生,(02)2370-5888#30238,fkchuang@moenv.gov.tw,資源回收
0800資源回收免費專線-查詢廢乾電池、照明光源統計,提供民眾來電諮詢之廢乾電池、廢照明光源問題查詢統計件數,WR_P_204,環境部資源循環署,其他,"資源循環,環境資源調查與監測",永續城市與社區,Year(年度)、TheNameOfTheProblem(問題類型)、Total(電話通數),,依政府資料開放平臺使用規範,https://data.gov.tw/license,UTF-8,1年,"2026-04-12 08:10:49.000000",莊先生,(02)2370-5888#30238,fkchuang@moenv.gov.tw,資源回收
0800資源回收免費專線-一般件問題查詢廢容器統計,提供民眾來電諮詢之廢容器問題查詢統計件數,WR_P_201,環境部資源循環署,其他,"資源循環,環境資源調查與監測",永續城市與社區,Year(年度)、TheNameOfTheProblem(問題類型)、Total(電話通數),,依政府資料開放平臺使用規範,https://data.gov.tw/license,UTF-8,1年,"2026-04-12 08:10:48.000000",莊先生,(02)2370-5888#30238,fkchuang@moenv.gov.tw,資源回收
0800資源回收免費專線-一般件問題查詢廢資訊物品統計,提供民眾來電諮詢之廢資訊物品問題查詢統計件數,WR_P_202,環境部資源循環署,其他,"資源循環,環境資源調查與監測",永續城市與社區,Year(年度)、TheNameOfTheProblem(問題類型)、Total(電話通數),,依政府資料開放平臺使用規範,https://data.gov.tw/license,UTF-8,1年,"2026-04-12 08:10:48.000000",莊先生,(02)2370-5888#30238,fkchuang@moenv.gov.tw,資源回收
應回收廢棄物稽核認證行程,應回收廢棄物稽核認證行程之資料(稽核日期、時間、項目、地點、業者名稱、稽核團體、稽核方式等),WR_P_20,環境部資源循環署,其他,"環境資源調查與監測,資源循環","產業創新與基礎建設,負責任的消費與生產",WayDate(稽核日期)、WayTime(稽核時間)、StayTime(停留時間)、ItemName(稽核項目)、CompanyName(回收或處理業名稱)、FAddress(稽核地點)、GNo(稽核團體)、Golf(稽核方式),,依政府資料開放平臺使用規範,https://data.gov.tw/license,UTF-8,1年,"2026-04-12 08:10:47.000000",廖小姐,(02)2370-5888#30218,ptliao@moenv.gov.tw,稽核認證
0800資源回收免費專線-一般件問題查詢廢機動車輛統計,提供民眾來電諮詢之廢機動車輛問題查詢統計件數,WR_P_200,環境部資源循環署,其他,"資源循環,環境資源調查與監測",永續城市與社區,Year(年度)、TheNameOfTheProblem(問題類型)、Total(電話通數),,依政府資料開放平臺使用規範,https://data.gov.tw/license,UTF-8,1年,"2026-04-12 08:10:47.000000",莊先生,(02)2370-5888#30238,fkchuang@moenv.gov.tw,資源回收
0800資源回收免費專線-一般件問題查詢廢電子電器統計,提供民眾來電諮詢之廢電子電器問題查詢統計件數,WR_P_199,環境部資源循環署,其他,"資源循環,環境資源調查與監測",永續城市與社區,Year(年度)、TheNameOfTheProblem(問題類型)、Total(電話通數),,依政府資料開放平臺使用規範,https://data.gov.tw/license,UTF-8,1年,"2026-04-12 08:10:46.000000",莊先生,(02)2370-5888#30238,fkchuang@moenv.gov.tw,資源回收
重點事業廢棄物-有機廢液之產出及清理流向,依重點事業廢棄物類別統計，各項列管事業廢棄物申報清理之各流向聯單(再利用、自行處理、委託共同及越境)申報量及廢棄物貯存量等資訊。,WR_P_196,環境部資源循環署,其他,資源循環,負責任的消費與生產,EMI_YEAR(申報年度)、EMI_MONTH(申報月份)、EMI_NUMBER(廢棄物代碼)、EMI_ITEM(廢棄物名稱)、DLIST_TYPE(申報流向)、EMI_VALUE(申報量)、EMI_UNITS(申報量度量單位)、EMI_SCALAR(申報量小數點展示位數),事業廢棄物申報及管理資訊系統,依政府資料開放平臺使用規範,https://data.gov.tw/license,UTF-8,1月,"2026-04-12 08:10:46.000000",吳小姐,(02)2311-7722#2661,meichiu.wu@moenv.gov.tw,
重點事業廢棄物-有害性集塵灰之產出及清理流向,依重點事業廢棄物類別統計，各項列管事業廢棄物申報清理之各流向聯單(再利用、自行處理、委託共同及越境)申報量及廢棄物貯存量等資訊。,WR_P_193,環境部資源循環署,其他,資源循環,負責任的消費與生產,EMI_YEAR(申報年度)、EMI_MONTH(申報月份)、EMI_NUMBER(廢棄物代碼)、EMI_ITEM(廢棄物名稱)、DLIST_TYPE(申報流向)、EMI_VALUE(申報量)、EMI_UNITS(申報量度量單位)、EMI_SCALAR(申報量小數點展示位數),事業廢棄物申報及管理資訊系統,依政府資料開放平臺使用規範,https://data.gov.tw/license,UTF-8,1月,"2026-04-12 08:10:45.000000",吳小姐,(02)2311-7722#2661,meichiu.wu@moenv.gov.tw,
重點事業廢棄物-廢酸鹼之產出及清理流向,依重點事業廢棄物類別統計，各項列管事業廢棄物申報清理之各流向聯單(再利用、自行處理、委託共同及越境)申報量及廢棄物貯存量等資訊。,WR_P_195,環境部資源循環署,其他,資源循環,負責任的消費與生產,EMI_YEAR(申報年度)、EMI_MONTH(申報月份)、EMI_NUMBER(廢棄物代碼)、EMI_ITEM(廢棄物名稱)、DLIST_TYPE(申報流向)、EMI_VALUE(申報量)、EMI_UNITS(申報量度量單位)、EMI_SCALAR(申報量小數點展示位數),事業廢棄物申報及管理資訊系統,依政府資料開放平臺使用規範,https://data.gov.tw/license,UTF-8,1月,"2026-04-12 08:10:45.000000",吳小姐,(02)2311-7722#2661,meichiu.wu@moenv.gov.tw,
重點事業廢棄物-一般污泥之產出及清理流向,依重點事業廢棄物類別統計，各項列管事業廢棄物申報清理之各流向聯單(再利用、自行處理、委託共同及越境)申報量及廢棄物貯存量等資訊。,WR_P_191,環境部資源循環署,其他,資源循環,負責任的消費與生產,EMI_YEAR(申報年度)、EMI_MONTH(申報月份)、EMI_NUMBER(廢棄物代碼)、EMI_ITEM(廢棄物名稱)、DLIST_TYPE(申報流向)、EMI_VALUE(申報量)、EMI_UNITS(申報量度量單位)、EMI_SCALAR(申報量小數點展示位數),事業廢棄物申報及管理資訊系統,依政府資料開放平臺使用規範,https://data.gov.tw/license,UTF-8,1月,"2026-04-12 08:10:44.000000",吳小姐,(02)2311-7722#2661,meichiu.wu@moenv.gov.tw,
重點事業廢棄物-有害污泥之產出及清理流向,依重點事業廢棄物類別統計，各項列管事業廢棄物申報清理之各流向聯單(再利用、自行處理、委託共同及越境)申報量及廢棄物貯存量等資訊。,WR_P_192,環境部資源循環署,其他,資源循環,負責任的消費與生產,EMI_YEAR(申報年度)、EMI_MONTH(申報月份)、EMI_NUMBER(廢棄物代碼)、EMI_ITEM(廢棄物名稱)、DLIST_TYPE(申報流向)、EMI_VALUE(申報量)、EMI_UNITS(申報量度量單位)、EMI_SCALAR(申報量小數點展示位數),事業廢棄物申報及管理資訊系統,依政府資料開放平臺使用規範,https://data.gov.tw/license,UTF-8,1月,"2026-04-12 08:10:44.000000",吳小姐,(02)2311-7722#2661,meichiu.wu@moenv.gov.tw,
重點事業廢棄物-有害性集塵灰之處理方式,依重點事業廢棄物類別統計，各項事業廢棄物於聯單上登載之處理(或再利用)方式，提供使用者了解列管事業機構申報處理(或再利用)重點事業廢棄物之方法。,WR_P_181,環境部資源循環署,其他,資源循環,負責任的消費與生產,EMI_YEAR(申報年度)、EMI_MONTH(申報月份)、EMI_NUMBER(廢棄物代碼)、EMI_ITEM(廢棄物名稱)、CLEANWAY_NUMBER(處理方式代碼)、CLEANWAY_NAME(處理方式名稱)、EMI_VALUE(申報量)、EMI_UNITS(申報量度量單位)、EMI_SCALAR(申報量小數點展示位數),事業廢棄物申報及管理資訊系統,依政府資料開放平臺使用規範,https://data.gov.tw/license,UTF-8,1月,"2026-04-12 08:10:43.000000",吳小姐,(02)2311-7722#2661,meichiu.wu@moenv.gov.tw,
